hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,arrival_date_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,meal,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Ocean Breeze Resort,FALSO,61,2016,3,9,10,10,4,10,3,1,HB,Guatemala,FALSO,4,5,G,G,9,Cash deposit,5,Contract,FALSO,6,Canceled,21/10/2017,Eugine Huke,ehuke6a@icq.com,498.697.7420,201745903207642
Mountain View Lodge,VERDADERO,12,2018,11,7,41,25,10,4,2,4,BB,Bosnia and Herzegovina,FALSO,,6,F,F,10,Cash deposit,7,Transient-Party,VERDADERO,,No-Show,19/10/2017,Patty Strood,pstrood6b@topsy.com,(226) 478-9812,3547265244691640
Sunset Inn,FALSO,93,2017,8,6,29,17,6,10,3,5,BB,United States,FALSO,2,,E,E,9,Debit car deposit,,Contract,VERDADERO,9,No-Show,25/08/2017,Lorilee Webb,lwebb6c@addthis.com,+1 (435) 572-2986,4041595681981550
Golden Sands Hotel,FALSO,23,2017,7,10,26,20,8,7,,2,HB,United States,FALSO,10,1,A,A,6,Cash deposit,2,Transient-Party,FALSO,,Canceled,04.14.2020,Byram Eccleshall,beccleshall6d@odnoklassniki.ru,774-662-1649,374622665059944
Ocean Breeze Resort,FALSO,15,2020,12,23,48,5,2,5,1,2,BB,Philippines,VERDADERO,9,6,A,A,5,Cash deposit,9,Transient,VERDADERO,2,Check-Out,28-03-2016,Adolf Hankin,ahankin6e@bandcamp.com,205.388.2002,3557851086125680
Golden Sands Hotel,VERDADERO,87,2015,7,28,28,27,10,4,2,,BB,Czech Republic,VERDADERO,,9,C,C,,Cash deposit,1,Contract,VERDADERO,1,Canceled,18-02-2017,Anette Moncrieffe,amoncrieffe6f@taobao.com,+1 (587) 606-3868,374283209196849
Sunset Inn,VERDADERO,25,2019,2,5,5,27,10,3,5,3,HB,China,,,,D,D,5,Credit card deposit,10,Transient,FALSO,2,Check-Out,04.03.2020,Angelica Aleksich,aaleksich6g@hud.gov,+1 (983) 793-6364,63048995650239300
Ocean Breeze Resort,VERDADERO,58,2018,6,7,21,11,4,5,,4,HB,Philippines,FALSO,,,E,E,3,Credit card deposit,,Transient,FALSO,10,Canceled,03.25.2019,Heall Tinner,htinner6h@baidu.com,+1 (630) 786-2304,30441735281842
Mountain View Lodge,FALSO,68,2020,9,18,35,17,6,1,2,2,FB,Colombia,,,,C,C,7,No deposit,1,Contract,FALSO,,Canceled,02.23.2018,Melanie Aldus,maldus6i@yellowbook.com,+1 (342) 564-7337,3567016480622190
Ocean Breeze Resort,VERDADERO,49,2018,5,1,17,13,4,5,3,5,HB,France,VERDADERO,,10,E,E,1,No deposit,6,Contract,VERDADERO,2,No-Show,05-01-2016,Michal Bousfield,mbousfield6j@yandex.ru,973-831-1652,36660901572569
Ocean Breeze Resort,FALSO,,2019,4,6,13,4,0,7,1,4,HB,Peru,FALSO,3,0,E,E,9,Debit car deposit,0,Contract,VERDADERO,0,No-Show,03.13.2020,Ilka Sage,isage6k@ft.com,(589) 659-2382,3548726664143930
Mountain View Lodge,VERDADERO,97,2017,8,28,32,27,10,1,5,1,FB,Colombia,,1,3,D,D,2,Credit card deposit,7,Contract,VERDADERO,2,No-Show,12-09-2018,Agnella Gillice,agillice6l@creativecommons.org,+1 (763) 684-0513,3583736339642540
Ocean Breeze Resort,FALSO,1,2020,9,16,35,24,8,6,,1,FB,China,,0,,D,D,8,Cash deposit,5,Transient-Party,VERDADERO,6,No-Show,05-05-2019,Alphonso Zelley,azelley6m@msu.edu,+1 (279) 603-0828,6334531441938840000
Mountain View Lodge,FALSO,48,2017,6,29,24,19,6,2,,2,BB,France,,0,10,A,A,2,Debit car deposit,5,Transient,FALSO,3,No-Show,05-12-2016,Evangelin Aughton,eaughton6n@cdc.gov,130-831-4374,3578883962588310
Grand Hotel,VERDADERO,77,2015,4,22,16,24,8,3,2,,HB,Yemen,VERDADERO,,1,G,G,6,Credit card deposit,7,Transient,VERDADERO,7,Check-Out,04-03-2018,Gabriela Gerb,ggerb6o@bloglovin.com,(494) 711-3920,3580985137357190
Sunset Inn,VERDADERO,27,2019,3,3,9,30,12,1,2,2,HB,Philippines,FALSO,,10,C,C,6,Credit card deposit,0,Contract,VERDADERO,4,No-Show,10-01-2015,Ferdy Auld,fauld6p@springer.com,+1 (488) 117-9492,3536854079063890
Sunset Inn,VERDADERO,91,2016,8,29,32,3,0,1,2,,HB,Pakistan,FALSO,,9,F,F,6,Credit card deposit,2,Transient-Party,VERDADERO,2,No-Show,22-06-2016,Tybie Stoppe,tstoppe6q@surveymonkey.com,+1 (616) 639-0661,3538298831311410
Ocean Breeze Resort,VERDADERO,56,2018,10,7,37,23,8,4,4,,HB,China,VERDADERO,,1,F,F,5,Debit car deposit,3,Contract,VERDADERO,0,Canceled,17/08/2018,Odessa Van der Daal,ovan6r@ebay.com,+1 (557) 144-6461,3582184145697530
Sunset Inn,VERDADERO,34,2017,11,2,41,16,6,5,5,4,FB,France,FALSO,8,0,G,G,,Cash deposit,2,Contract,VERDADERO,,No-Show,18/07/2020,Prince Mulliner,pmulliner6s@go.com,+1 (655) 197-6113,201438529262098
Sunset Inn,FALSO,,2016,5,15,19,30,12,2,4,5,BB,Sweden,FALSO,2,,F,F,10,Credit card deposit,5,Contract,VERDADERO,10,Check-Out,07/11/2018,Annalee Placidi,aplacidi6t@ycombinator.com,+1 (101) 741-6809,56022306158647800
Golden Sands Hotel,VERDADERO,76,2020,9,22,36,28,10,3,,2,HB,Portugal,VERDADERO,8,1,G,G,7,No deposit,6,Transient-Party,VERDADERO,10,Canceled,04.19.2015,Marcellus Totterdill,mtotterdill6u@mozilla.com,444.824.0016,676360095896487000
Mountain View Lodge,FALSO,10,2015,10,30,40,25,10,4,4,4,BB,Canada,FALSO,,,G,G,3,Credit card deposit,8,Transient,FALSO,4,No-Show,15/10/2015,Aguistin Winfindale,awinfindale6v@trellian.com,364.597.2167,5610802744085410
Golden Sands Hotel,VERDADERO,16,2019,6,8,22,28,10,10,4,,BB,South Africa,FALSO,,4,D,D,7,Debit car deposit,0,Contract,,2,Canceled,19/03/2019,Anson Beyn,abeyn6w@youtube.com,(349) 783-6487,3557869351020410
Ocean Breeze Resort,FALSO,19,2015,3,28,12,2,0,10,,3,HB,China,FALSO,0,8,C,C,6,Cash deposit,9,Contract,VERDADERO,1,No-Show,03.03.2016,Camel Karlolak,ckarlolak6x@ebay.com,672-367-4523,675951127775151000
Golden Sands Hotel,VERDADERO,33,2015,3,15,11,7,2,1,5,5,BB,Philippines,VERDADERO,2,7,F,F,4,No deposit,10,Transient-Party,VERDADERO,4,Check-Out,15-09-2018,Romain Syer,rsyer6y@state.gov,(798) 213-1750,3531787618798550
Ocean Breeze Resort,VERDADERO,30,2020,1,6,1,21,8,8,2,,FB,Philippines,VERDADERO,5,0,A,A,0,Cash deposit,9,Transient,FALSO,0,Check-Out,04.25.2015,Deny Tyson,dtyson6z@php.net,470-262-6876,3546013292941490
Grand Hotel,VERDADERO,0,2019,10,27,40,26,10,2,2,4,BB,China,FALSO,8,8,A,A,2,No deposit,10,Transient,FALSO,1,Canceled,25/04/2020,Skyler Fowlestone,sfowlestone70@cdbaby.com,910.070.9887,3528922142326070
Grand Hotel,VERDADERO,61,2020,4,29,16,21,8,9,2,2,BB,Philippines,FALSO,8,,F,F,2,No deposit,1,Contract,VERDADERO,9,Canceled,03.15.2017,Valentijn Nisco,vnisco71@de.vu,(526) 007-9183,560224514528958000
Mountain View Lodge,VERDADERO,87,2016,3,20,11,10,4,1,,1,HB,China,,,9,G,G,8,Debit car deposit,10,Transient,FALSO,8,No-Show,11.22.2016,D'arcy Andrysek,dandrysek72@zdnet.com,+1 (146) 785-9865,3566456703923730
Sunset Inn,VERDADERO,94,2016,12,28,49,21,8,7,4,1,FB,Guatemala,FALSO,,,D,D,10,Credit card deposit,8,Transient-Party,VERDADERO,8,Check-Out,26-09-2016,Cchaddie Martinovsky,cmartinovsky73@toplist.cz,879-473-4072,560221991630018000
Ocean Breeze Resort,FALSO,76,2019,7,17,27,19,6,8,3,3,FB,China,VERDADERO,6,5,C,C,2,Credit card deposit,2,Contract,FALSO,2,No-Show,30-06-2019,Muriel Ugoletti,mugoletti74@phoca.cz,538-358-5036,3553525503066760
Grand Hotel,FALSO,38,2016,10,30,40,15,6,6,2,3,FB,Colombia,FALSO,0,4,C,C,1,No deposit,6,Transient-Party,VERDADERO,1,Canceled,22/02/2019,Jacinda Edmondson,jedmondson75@stumbleupon.com,138-485-0245,6391271267527460
Sunset Inn,FALSO,10,2020,2,21,7,22,8,9,4,5,FB,Indonesia,VERDADERO,1,8,G,G,10,Cash deposit,2,Contract,FALSO,3,Check-Out,12-08-2019,Korella Lardge,klardge76@fema.gov,383.907.7701,3578554440043430
Ocean Breeze Resort,FALSO,93,2018,9,2,33,22,8,10,2,3,FB,Ethiopia,VERDADERO,1,4,A,A,10,Credit card deposit,,Transient-Party,FALSO,1,Check-Out,06-07-2018,Mufinella Ebrall,mebrall77@pcworld.com,600.446.1687,3552667969207510
Mountain View Lodge,FALSO,3,2017,5,21,19,13,4,10,5,,HB,Cameroon,,10,2,F,F,0,No deposit,6,Transient,FALSO,6,Check-Out,11/08/2019,Elinor Berryann,eberryann78@simplemachines.org,330-473-5741,5108759161400080
Sunset Inn,VERDADERO,41,2016,7,1,25,3,0,9,,4,BB,Indonesia,FALSO,6,2,E,E,3,No deposit,6,Contract,FALSO,8,Check-Out,04/10/2016,Amalea Bulmer,abulmer79@ifeng.com,+1 (291) 482-5343,67628697635455600
Golden Sands Hotel,FALSO,84,2015,7,8,26,26,10,1,2,5,BB,Iraq,,4,6,C,C,9,Cash deposit,8,Transient-Party,FALSO,7,Check-Out,15-09-2016,Dallas Sheere,dsheere7a@biblegateway.com,(335) 999-9775,4913996464988460
Ocean Breeze Resort,FALSO,95,2019,9,24,36,16,6,10,2,,HB,Brazil,FALSO,,,F,F,0,No deposit,2,Transient-Party,VERDADERO,2,Canceled,05.15.2018,Gabbie Cranham,gcranham7b@google.com,(814) 778-4422,3535169320416580
Sunset Inn,VERDADERO,86,2019,5,15,19,29,10,8,1,3,FB,Panama,FALSO,4,4,F,F,1,Debit car deposit,10,Transient-Party,VERDADERO,2,No-Show,15-12-2018,Leo Kloster,lkloster7c@ibm.com,(644) 940-9258,4911793374628710000
Mountain View Lodge,FALSO,29,2015,2,4,5,17,6,10,,2,FB,Japan,VERDADERO,2,2,C,C,10,Credit card deposit,7,Transient-Party,VERDADERO,0,Canceled,09.04.2017,Elora Burrells,eburrells7d@t-online.de,(385) 080-6481,3569433116066940
Grand Hotel,VERDADERO,100,2020,12,3,48,21,8,10,,2,FB,Greece,VERDADERO,4,10,D,D,,Cash deposit,2,Contract,FALSO,1,Canceled,11/05/2018,Katrina McKimmie,kmckimmie7e@squarespace.com,(548) 714-1032,5100143441578640
Grand Hotel,FALSO,29,2018,4,16,15,3,0,8,3,5,HB,Portugal,VERDADERO,6,1,E,E,6,Cash deposit,4,Contract,FALSO,8,Check-Out,18/02/2017,Bendite Currin,bcurrin7f@intel.com,(949) 010-2461,5514118383165860
Ocean Breeze Resort,FALSO,2,2019,5,27,20,19,6,2,4,5,FB,Ukraine,FALSO,7,,G,G,9,No deposit,,Transient,VERDADERO,5,Check-Out,05.04.2019,Trixi Jiroutek,tjiroutek7g@yellowpages.com,(116) 520-2475,3583782482040240
Sunset Inn,VERDADERO,41,2020,9,21,35,23,8,9,3,3,BB,United States,FALSO,,,C,C,0,Debit car deposit,,Contract,VERDADERO,,Check-Out,29/01/2015,Alena Greenin,agreenin7h@arizona.edu,456.460.3280,3537908175480810
Grand Hotel,FALSO,5,2020,5,7,17,15,6,3,2,3,HB,Venezuela,VERDADERO,1,0,A,A,5,Credit card deposit,0,Contract,FALSO,8,No-Show,28/01/2017,Jozef Tinto,jtinto7i@t-online.de,+1 (238) 907-5127,5602234226013300000
Golden Sands Hotel,VERDADERO,8,2018,8,5,29,15,6,3,,,BB,Mexico,VERDADERO,,9,G,G,4,Cash deposit,10,Transient-Party,FALSO,5,Check-Out,25/03/2016,Tatiania Dusting,tdusting7j@chronoengine.com,+1 (816) 425-4654,346323904098273
Mountain View Lodge,FALSO,32,2017,10,7,37,6,2,9,1,2,BB,Madagascar,VERDADERO,6,,A,A,9,Debit car deposit,5,Transient,VERDADERO,1,Canceled,01.23.2016,Raymund Duffree,rduffree7k@comcast.net,+1 (410) 180-5729,6333917081511260000
Golden Sands Hotel,VERDADERO,6,2017,11,20,43,5,2,10,2,2,BB,Russia,FALSO,2,9,E,E,7,Credit card deposit,2,Transient-Party,FALSO,10,No-Show,09-08-2019,Rodolph Bussons,rbussons7l@cafepress.com,494.294.7938,30341668789276
Grand Hotel,FALSO,13,2015,11,1,41,24,8,4,3,2,HB,China,FALSO,,0,E,E,2,No deposit,2,Transient-Party,FALSO,9,Check-Out,09-01-2016,Flemming Dearden,fdearden7m@sogou.com,+1 (744) 813-3590,3550205836676590
Mountain View Lodge,VERDADERO,55,2018,2,3,5,29,10,2,5,3,FB,Greece,VERDADERO,,9,F,F,4,Credit card deposit,10,Contract,FALSO,5,No-Show,05.12.2018,Zebadiah Amthor,zamthor7n@blog.com,559.053.9346,4844818793815550
Grand Hotel,FALSO,54,2015,12,17,48,16,6,6,,1,FB,Croatia,VERDADERO,3,5,E,E,,Debit car deposit,8,Contract,FALSO,1,Check-Out,02.03.2018,Gerhard Harrow,gharrow7o@sitemeter.com,119-867-1222,3588639981777520
Sunset Inn,VERDADERO,,2017,9,19,35,16,6,3,3,3,HB,China,VERDADERO,4,6,D,D,1,Cash deposit,10,Transient,VERDADERO,7,Canceled,01.09.2018,Jere McKeller,jmckeller7p@blog.com,+1 (594) 219-9995,3547205384799990
Sunset Inn,FALSO,,2017,3,15,11,12,4,6,5,5,BB,Sweden,VERDADERO,3,10,F,F,9,Credit card deposit,4,Transient-Party,FALSO,2,No-Show,02.26.2018,Murvyn Ovendale,movendale7q@imdb.com,943.539.1365,67710956462089500
Ocean Breeze Resort,FALSO,39,2017,7,4,25,2,0,1,,1,HB,Philippines,FALSO,10,1,C,C,3,Debit car deposit,7,Transient,FALSO,8,No-Show,02/01/2018,Wilmar Bischoff,wbischoff7r@tmall.com,(584) 691-2181,3549469829941840
Sunset Inn,VERDADERO,92,2019,9,9,34,14,4,9,2,,BB,Lithuania,,,9,E,E,5,Debit car deposit,0,Contract,FALSO,9,Check-Out,04.09.2020,Audie Rangall,arangall7s@sciencedaily.com,+1 (227) 386-2743,4026393618375790
Ocean Breeze Resort,FALSO,65,2015,3,8,10,25,10,8,,5,HB,Bolivia,FALSO,3,4,G,G,4,Debit car deposit,5,Contract,VERDADERO,8,Canceled,19/10/2016,Celinka Stockford,cstockford7t@last.fm,673.828.2400,493634258482280000
Sunset Inn,FALSO,,2016,2,25,8,4,0,3,2,2,HB,Poland,VERDADERO,8,2,F,F,9,Debit car deposit,2,Transient,FALSO,8,No-Show,03.15.2016,Shel Scarsbrick,sscarsbrick7u@marketwatch.com,(509) 896-4650,5007665505144250
Golden Sands Hotel,VERDADERO,17,2016,7,10,26,26,10,4,3,5,HB,China,VERDADERO,,3,A,A,,No deposit,2,Transient,VERDADERO,3,Canceled,07/08/2017,Amargo Kreuzer,akreuzer7v@theatlantic.com,(837) 436-4294,5048375258337590
Golden Sands Hotel,VERDADERO,24,2017,5,8,18,23,8,9,5,3,BB,Brazil,FALSO,7,7,F,F,3,Debit car deposit,4,Transient-Party,VERDADERO,9,Canceled,28/10/2019,Lenora Rush,lrush7w@tripadvisor.com,(381) 877-1442,5385134648850440
Ocean Breeze Resort,FALSO,69,2020,8,29,32,25,10,8,2,4,HB,Liechtenstein,VERDADERO,8,5,C,C,4,Credit card deposit,4,Contract,VERDADERO,5,No-Show,22-03-2015,Myra Hazeldene,mhazeldene7x@nhs.uk,(252) 048-4686,3568084701940930
Ocean Breeze Resort,FALSO,40,2017,4,26,16,13,4,8,4,1,FB,Indonesia,VERDADERO,,7,C,C,0,Credit card deposit,5,Transient,VERDADERO,3,No-Show,03-10-2016,Millisent Pawson,mpawson7y@plala.or.jp,820-016-8975,201440504713384
Golden Sands Hotel,VERDADERO,3,2017,4,27,16,22,8,9,1,2,BB,Portugal,FALSO,,5,D,D,4,Debit car deposit,6,Contract,FALSO,0,Canceled,04.06.2017,Hart Burndred,hburndred7z@usa.gov,269-016-5266,3552506245970420
Grand Hotel,VERDADERO,,2015,11,28,44,21,8,8,3,2,HB,Poland,VERDADERO,10,6,A,A,9,Cash deposit,5,Contract,FALSO,8,No-Show,03.20.2020,Bessy Petraitis,bpetraitis80@washingtonpost.com,731.972.4298,6304458087579350
Ocean Breeze Resort,VERDADERO,11,2017,2,1,5,4,0,9,2,,HB,China,FALSO,,4,D,D,2,Credit card deposit,3,Transient-Party,FALSO,,Canceled,12-09-2016,Kelsey Waples,kwaples81@bbb.org,881.574.9868,6767491281435930000
Mountain View Lodge,FALSO,19,2016,2,1,5,22,8,5,4,,HB,Indonesia,VERDADERO,1,,G,G,2,No deposit,1,Transient-Party,VERDADERO,2,Check-Out,22/01/2016,Honey Peat,hpeat82@harvard.edu,(992) 916-6037,3546469735014090
Mountain View Lodge,VERDADERO,44,2018,3,23,12,26,10,10,3,2,FB,China,FALSO,,,C,C,3,No deposit,10,Contract,FALSO,2,Check-Out,04.14.2019,Silva Klulik,sklulik83@alibaba.com,+1 (592) 917-2461,4844378482668420
Golden Sands Hotel,VERDADERO,4,2016,8,7,29,4,0,8,1,1,BB,Philippines,VERDADERO,10,5,E,E,3,Debit car deposit,9,Contract,FALSO,2,No-Show,08.03.2018,Dominique Piner,dpiner84@hibu.com,614-419-8879,3577733120760030
Golden Sands Hotel,VERDADERO,38,2015,12,31,49,30,12,4,2,2,FB,Indonesia,FALSO,0,3,E,E,1,Debit car deposit,8,Transient,,2,No-Show,08-08-2016,Rustie Belf,rbelf85@psu.edu,(513) 499-4408,630428525335362000
Grand Hotel,VERDADERO,42,2015,7,17,27,20,8,8,1,5,HB,China,VERDADERO,,2,G,G,,No deposit,9,Transient,VERDADERO,9,Check-Out,03.06.2020,Jamie Hann,jhann86@flavors.me,(637) 461-5233,3539987466876690
Golden Sands Hotel,FALSO,22,2019,6,13,22,27,10,6,4,5,FB,Brazil,VERDADERO,1,3,C,C,3,Cash deposit,8,Transient-Party,VERDADERO,1,No-Show,12/06/2020,Modesty Sheffield,msheffield87@yandex.ru,100-425-2579,5100147346924410
Grand Hotel,VERDADERO,,2018,3,26,12,21,8,2,1,4,BB,Bolivia,FALSO,2,,G,G,0,Cash deposit,3,Contract,VERDADERO,,Check-Out,18-07-2020,Ernestine Dunabie,edunabie88@theglobeandmail.com,+1 (807) 125-6659,3560618634587100
Ocean Breeze Resort,FALSO,47,2019,5,27,20,22,8,9,3,5,HB,El Salvador,FALSO,1,2,E,E,0,Debit car deposit,5,Transient-Party,FALSO,5,Canceled,10/02/2020,Grier Antonomolii,gantonomolii89@state.tx.us,(940) 246-8684,5602242695465320000
Grand Hotel,FALSO,27,2020,3,4,9,22,8,4,3,,BB,Poland,VERDADERO,,9,F,F,2,Cash deposit,8,Transient,FALSO,,Check-Out,18/04/2020,Fulton Mayfield,fmayfield8a@dot.gov,543-776-5967,3543518823911310
Golden Sands Hotel,FALSO,40,2015,9,28,36,15,6,8,1,1,BB,Morocco,,2,2,E,E,8,Cash deposit,1,Transient-Party,,1,Canceled,18-06-2017,Rebecca Cansfield,rcansfield8b@ehow.com,556.752.6700,3543277521768520
Mountain View Lodge,FALSO,11,2018,9,8,34,7,2,3,4,,HB,Japan,VERDADERO,9,3,G,G,8,No deposit,1,Transient-Party,VERDADERO,9,Check-Out,17-11-2018,Kippie Mozzini,kmozzini8c@smugmug.com,983-333-6273,30113708486084
Ocean Breeze Resort,FALSO,12,2019,5,1,17,5,2,3,2,4,FB,Philippines,FALSO,,,D,D,0,Debit car deposit,10,Contract,FALSO,8,Check-Out,12.04.2017,Karlee Hemeret,khemeret8d@harvard.edu,+1 (707) 269-0672,3579087493139050
Grand Hotel,VERDADERO,56,2016,8,5,29,24,8,2,1,3,HB,China,VERDADERO,9,0,A,A,,Cash deposit,6,Transient,VERDADERO,,Canceled,10.26.2020,Constantine Swenson,cswenson8e@mysql.com,609-045-5367,564182985938115000
Ocean Breeze Resort,VERDADERO,55,2017,11,7,41,21,8,1,3,2,HB,Poland,FALSO,,,F,F,10,Credit card deposit,0,Transient,FALSO,8,Check-Out,01-05-2018,Aldo Galliver,agalliver8f@flickr.com,(774) 918-9443,374622024243544
Sunset Inn,VERDADERO,58,2015,1,8,2,12,4,1,4,4,BB,Sweden,,9,5,F,F,9,Credit card deposit,5,Contract,VERDADERO,0,Canceled,31/10/2018,Trixie Folbigg,tfolbigg8g@rediff.com,563.346.2540,63043679194115200
Golden Sands Hotel,FALSO,45,2020,4,10,14,4,0,8,3,5,HB,China,VERDADERO,6,,C,C,7,No deposit,9,Contract,VERDADERO,,No-Show,09/04/2019,Tod Killingbeck,tkillingbeck8h@nasa.gov,(212) 877-3545,3572430434940820
Ocean Breeze Resort,VERDADERO,,2019,7,30,28,19,6,1,3,1,BB,China,FALSO,0,0,G,G,8,Cash deposit,,Transient,VERDADERO,,Canceled,01/11/2018,Minnnie Coggill,mcoggill8i@illinois.edu,(639) 444-7670,3557150420757330
Mountain View Lodge,VERDADERO,86,2019,10,2,37,25,10,7,4,1,BB,Peru,VERDADERO,2,10,F,F,,Cash deposit,2,Contract,,2,Check-Out,11.28.2017,Veriee Craigg,vcraigg8j@eepurl.com,(917) 108-4544,3570567759195950
Mountain View Lodge,VERDADERO,88,2016,1,9,2,20,8,10,5,1,HB,Belarus,FALSO,5,,E,E,6,Credit card deposit,10,Contract,FALSO,8,Check-Out,24-09-2020,Cyrillus Canario,ccanario8k@mysql.com,(892) 507-1693,675922762748631000
Ocean Breeze Resort,VERDADERO,32,2020,11,8,42,10,4,4,3,5,BB,United States,FALSO,2,9,C,C,9,Credit card deposit,4,Contract,VERDADERO,,Check-Out,07.30.2017,Emlen Jenik,ejenik8l@mapquest.com,+1 (686) 307-4468,201894562866247
Mountain View Lodge,VERDADERO,21,2020,2,26,8,29,10,2,4,5,BB,Moldova,VERDADERO,1,6,E,E,5,No deposit,0,Contract,FALSO,,Canceled,02-04-2020,Sandi Edon,sedon8m@youtube.com,+1 (892) 320-1842,5048370873569370
Sunset Inn,VERDADERO,40,2017,9,15,35,29,10,2,,,HB,El Salvador,VERDADERO,8,,E,E,8,Cash deposit,7,Transient,,3,No-Show,04/06/2018,Lexi Huzzey,lhuzzey8n@mlb.com,177-724-8423,560221200609820000
Grand Hotel,VERDADERO,20,2015,10,2,37,14,4,4,5,5,BB,Philippines,FALSO,3,6,F,F,1,Credit card deposit,4,Transient-Party,FALSO,,Check-Out,20-10-2016,Debby Dearan,ddearan8o@shareasale.com,(569) 241-5705,3532475888062470
Golden Sands Hotel,VERDADERO,47,2016,7,11,26,12,4,7,,3,FB,Philippines,VERDADERO,,1,G,G,6,Credit card deposit,10,Contract,VERDADERO,0,Check-Out,09.07.2017,Romonda Michelmore,rmichelmore8p@t.co,349.784.8479,5002354848719500
Ocean Breeze Resort,VERDADERO,61,2019,12,7,48,20,8,8,4,5,HB,United States,VERDADERO,2,,G,G,3,Credit card deposit,8,Transient-Party,FALSO,2,No-Show,23-12-2015,Ilyssa Ciraldo,iciraldo8q@yale.edu,(326) 785-2574,4844627771212500
Ocean Breeze Resort,FALSO,7,2020,11,11,42,30,12,3,5,5,BB,Portugal,VERDADERO,3,9,E,E,10,Credit card deposit,2,Contract,VERDADERO,0,Canceled,16/08/2016,Stirling Theaker,stheaker8r@bloglines.com,(581) 217-4732,3528670414037960
Sunset Inn,FALSO,75,2018,6,22,24,14,4,3,3,1,HB,Democratic Republic of the Congo,FALSO,1,9,G,G,8,Debit car deposit,10,Transient-Party,FALSO,9,No-Show,08.23.2017,Raynard Lebrun,rlebrun8s@simplemachines.org,962.452.5762,3589391722024040
Ocean Breeze Resort,FALSO,82,2016,8,1,29,28,10,6,,5,HB,,FALSO,3,10,A,A,,Cash deposit,,Transient,FALSO,9,Canceled,03.20.2017,Lorianna Klimkovich,lklimkovich8t@addtoany.com,(953) 923-2083,3578577804435160
Grand Hotel,VERDADERO,15,2016,8,23,32,21,8,6,,2,BB,Ukraine,VERDADERO,,7,D,D,5,Debit car deposit,1,Transient-Party,VERDADERO,10,No-Show,24/06/2015,Chelsea Rigeby,crigeby8u@joomla.org,(361) 247-9646,3586961846758650
Golden Sands Hotel,VERDADERO,54,2020,12,18,48,11,4,1,1,5,BB,Portugal,VERDADERO,,2,A,A,2,Credit card deposit,4,Contract,VERDADERO,1,No-Show,19/12/2017,Ches Egdal,cegdal8v@aboutads.info,485.133.2982,201634086342931
Golden Sands Hotel,VERDADERO,46,2017,10,6,37,8,2,9,,3,FB,United States,FALSO,,8,C,C,4,No deposit,5,Transient,,9,Canceled,01.16.2019,Amalea Flode,aflode8w@list-manage.com,+1 (943) 293-0612,3560075813729120
Golden Sands Hotel,FALSO,21,2017,11,8,42,27,10,1,1,2,BB,China,FALSO,9,2,F,F,8,Debit car deposit,9,Transient-Party,VERDADERO,1,No-Show,11.07.2020,Sarita Brecher,sbrecher8x@yahoo.com,583-169-0145,560222163793428000
Grand Hotel,FALSO,29,2015,8,16,31,3,0,1,1,3,BB,Thailand,VERDADERO,,,E,E,2,No deposit,9,Transient,VERDADERO,3,Check-Out,31-03-2019,Gawain Parram,gparram8y@ning.com,(787) 579-8898,3567941710829640
Mountain View Lodge,VERDADERO,37,2015,2,14,6,30,12,9,,2,BB,Yemen,VERDADERO,0,6,F,F,9,Credit card deposit,0,Transient,FALSO,1,Canceled,15-05-2020,Pauly Kraut,pkraut8z@cornell.edu,993-668-9890,589384827086901000
Ocean Breeze Resort,VERDADERO,81,2015,8,1,29,24,8,2,1,4,FB,Czech Republic,,2,4,C,C,5,Debit car deposit,,Contract,FALSO,0,No-Show,23/03/2018,Archaimbaud Conkie,aconkie90@amazon.co.jp,115-273-8950,3540501501242320
Mountain View Lodge,FALSO,30,2015,7,15,27,19,6,7,2,2,FB,Sweden,,7,5,D,D,10,Debit car deposit,7,Contract,FALSO,1,Canceled,21-09-2016,Emlen McCaughan,emccaughan91@livejournal.com,(802) 838-9058,3570540405651680
Sunset Inn,VERDADERO,27,2015,5,10,18,13,4,8,2,3,HB,Nigeria,VERDADERO,8,,G,G,7,Debit car deposit,3,Transient,FALSO,9,No-Show,17-03-2020,Wolfie Stoven,wstoven92@fotki.com,283-125-8622,3580212839998910
Golden Sands Hotel,VERDADERO,22,2019,10,19,39,19,6,7,,5,BB,Azerbaijan,VERDADERO,0,0,G,G,2,No deposit,3,Contract,FALSO,10,Check-Out,12.14.2018,Alejoa Lotterington,alotterington93@sitemeter.com,977.250.2687,5108755835371830
Mountain View Lodge,FALSO,65,2015,5,3,17,19,6,1,4,2,FB,China,FALSO,4,2,E,E,,Credit card deposit,0,Transient,FALSO,0,Canceled,11.05.2020,Gav Attfield,gattfield94@accuweather.com,(613) 188-5005,201721289063479
Grand Hotel,FALSO,6,2020,6,13,22,3,0,9,5,3,BB,Zimbabwe,FALSO,8,,F,F,0,Cash deposit,,Transient-Party,VERDADERO,,Canceled,02-11-2016,Caroline Rixon,crixon95@furl.net,(837) 373-3838,201741528941830
